executed_at,underlying_symbol,option_chain_id,side,strike,option_type,expiry,underlying_price,nbbo_bid,nbbo_ask,ewma_nbbo_bid,ewma_nbbo_ask,price,size,premium,volume,open_interest,implied_volatility,delta,theta,gamma,vega,rho,theo,sector,exchange,report_flags,canceled,upstream_condition_detail,equity_type,date,ingested_at,spread_width_pct,nbbo_position,distance_from_spot_pct,distance_from_spot_pts,repeat_print_count_today,significance_score,signed_direction,time_bucket,dte_bucket,ticker_family,won,close_won,time_to_itm_min,time_in_itm_min,mfe_pts,mae_pts,close_distance_from_strike_pts
2026-04-13T14:09:27.136512+0000,MSFT,MSFT260821C00450000,ask,450.0,call,2026-08-21,377.74,8.8,8.85,8.8,8.85,8.9,10000,8900000.0,20253,29339,0.3382013270821898,0.2228456286995428,-0.0878993349538848,0.003912250933111248,0.672416636651723,0.2681123838916573,8.89999999999999,Technology,AMXO,{futures_floor},false,slft,Common Stock,2026-04-13,2026-04-29T01:51:34.974392+0000,0.005665722379603279,3.0000000000001066,0.1912956001482501,72.25999999999999,3,4,bullish_call_buy,open,8DTE+,single_name,false,false,,0,-65.45999999999998,-75.47000000000003,-65.63
2026-04-13T17:42:52.626816+0000,SPX,SPX260918C06500000,ask,6500.0,call,2026-09-18,6846.51,609.9,611.0,609.9,611.0,611.28,140,8557920.0,186,6234,0.2351938269004281,0.66234838614829,-1.24775199924632,0.0003449307275764047,16.46116314994875,16.98389551181382,611.279999999999,,XCBO,{futures_floor},false,cbmo,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.001801949381603772,1.5090909090907456,0.05061118730564919,346.5100000000002,1,4,bullish_call_buy,midday,8DTE+,spx_complex,true,true,0,137,386.5500000000002,342.6199999999999,385.97999999999956
2026-04-13T18:01:30.131868+0000,SPX,SPX260618P06850000,ask,6850.0,put,2026-06-18,6847.29,169.2,169.8,169.2,169.8,170.0,500,8500000.0,2003,21717,0.1462713196526927,-0.487813379162381,-1.267346277542485,0.000936276099679832,11.61051894424005,-6.34721036762508,169.9999999999996,,XCBO,{futures_floor},false,cbmo,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.0035398230088496915,1.6666666666666035,0.00039577701543238805,2.7100000000000364,17,4,bearish_put_buy,afternoon,8DTE+,spx_complex,true,false,0,40,3.6400000000003274,-36.55000000000018,-35.97999999999956
2026-04-13T14:20:00.865464+0000,SPX,SPX260821C06600000,bid,6600.0,call,2026-08-21,6813.23,471.4,473.0,471.4,473.0,470.44,180,8467920.0,181,3371,0.2198341872285251,0.623109983830335,-1.327429316710204,0.0004248867273693346,15.44276223237832,13.44503322101933,470.44,,XCBO,{futures_floor},false,cbmo,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.003388394747988189,-2.1999999999999575,0.031296462911130196,213.22999999999956,0,4,bearish_call_sell,open,8DTE+,spx_complex,false,false,0,339,-286.5500000000002,-286.5500000000002,-285.97999999999956
2026-04-13T18:34:27.572638+0000,SPX,SPX260618P06850000,no_side,6850.0,put,2026-06-18,6848.84,168.0,168.6,168.0,168.6,168.63,500,8431500.0,2911,21717,0.145741674058805,-0.48640281899763,-1.2628874817891,0.000939358582910363,11.61181942994232,-6.3286316566851,168.6300000000001,,XCBO,{},false,late,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.0035650623885917663,1.0999999999999575,0.00016937174762439398,1.1599999999998545,23,4,undirected,afternoon,8DTE+,spx_complex,,,0,7,,,
2026-04-13T18:34:03.304489+0000,SPX,SPX270319C06500000,bid,6500.0,call,2027-03-19,6848.71,836.4,838.7,836.4,838.7,836.31,100,8363100.0,102,2804,0.248789258101264,0.636288850227219,-0.934945192343751,0.0002282942990525329,24.81591528801577,32.80252755861596,836.31,,XCBO,{futures_floor},false,cbmo,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.0027461047101666387,-1.0782608695651934,0.05091615793339184,348.71000000000004,0,4,bearish_call_sell,afternoon,8DTE+,spx_complex,false,false,0,85,-386.5500000000002,-386.5500000000002,-385.97999999999956
2026-04-13T17:42:52.688062+0000,SPX,SPX260918C06950000,ask,6950.0,call,2026-09-18,6846.51,291.8,292.9,291.8,292.9,292.92,280,8201760.0,421,3783,0.1875978693080991,0.479076240035531,-1.082565513540289,0.000471447056850077,17.94582987959474,12.93037485945685,292.9200000000001,,XCBO,{futures_floor},false,cbmo,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.003762613305968756,1.0363636363636561,0.015115730496267408,103.48999999999978,4,4,bullish_call_buy,midday,8DTE+,spx_complex,false,false,,0,-63.44999999999982,-107.38000000000011,-64.02000000000044
2026-04-13T18:01:30.253683+0000,SPX,SPX260618C06850000,bid,6850.0,call,2026-06-18,6847.15,203.9,204.5,203.9,204.5,203.5,400,8140000.0,1979,20590,0.175390350965612,0.514582081605449,-1.560555641467642,0.000780690230729259,11.60794113479017,6.00314427956913,203.4999999999996,,XCBO,{futures_floor},false,cbmo,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.0029382957884426754,-2.3333333333333175,0.00041623157079958287,2.850000000000364,20,4,bearish_call_sell,afternoon,8DTE+,spx_complex,false,false,9,86,-36.55000000000018,-36.55000000000018,-35.97999999999956
2026-04-13T17:52:38.495439+0000,SPX,SPX260918P07000000,bid,7000.0,put,2026-09-18,6844.58,324.2,325.5,324.2,325.5,323.0,250,8075000.0,7290,96496,0.1328454002458555,-0.58034942570581,-0.715180286086626,0.000653288382587987,17.59986299864463,-18.59312864129316,323.0000000000005,,XCBO,{futures_floor},false,cbmo,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.00400184700631064,-2.846153846153856,0.02270701781555626,155.42000000000007,7,4,bullish_put_sell,midday,8DTE+,spx_complex,false,false,0,127,-155.84000000000015,-155.84000000000015,-114.02000000000044
2026-04-13T17:52:38.377468+0000,SPX,SPX260918P07000000,bid,7000.0,put,2026-09-18,6844.58,324.2,325.5,324.2,325.5,323.0,250,8075000.0,7040,96496,0.1328454002458555,-0.58034942570581,-0.715180286086626,0.000653288382587987,17.59986299864463,-18.59312864129316,323.0000000000005,,XCBO,{futures_floor},false,cbmo,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.00400184700631064,-2.846153846153856,0.02270701781555626,155.42000000000007,6,4,bullish_put_sell,midday,8DTE+,spx_complex,false,false,0,127,-155.84000000000015,-155.84000000000015,-114.02000000000044
2026-04-13T13:49:01.982778+0000,SPX,SPX260717P06200000,ask,6200.0,put,2026-07-17,6803.06,85.1,86.0,85.1,86.0,87.82,875,7684250.0,875,13005,0.2254360665057496,-0.1923305508833948,-1.117841299634615,0.0003494278093106304,9.48899476256618,-3.634091681145612,87.8199999999999,,XCBO,{futures_floor},false,mfsl,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.01052016364699013,5.044444444444403,0.08864540368598842,603.0600000000004,0,4,bearish_put_buy,open,8DTE+,spx_complex,false,false,,0,-603.5200000000004,-686.5500000000002,-685.9799999999996
2026-04-13T14:51:02.724636+0000,TSM,TSM261218P00300000,bid,300.0,put,2026-12-18,369.83,20.45,21.0,20.45,21.0,20.0,3727,7454000.0,5000,3496,0.4306453451783815,-0.2201940685417182,-0.0774736929883637,0.002252026600316964,0.904907173320335,-0.691976951228141,20.0,Technology,XBOX,{futures_floor},false,slft,ADR,2026-04-13,2026-04-29T01:51:34.974392+0000,0.026537997587454797,-2.636363636363638,0.18881648324906034,69.82999999999998,0,4,bullish_put_sell,open,8DTE+,single_name,true,true,,0,68.20999999999998,68.20999999999998,69.70999999999998
