symbol,distance_bucket,threshold,loo_mean,loo_min,loo_max,loo_std,loo_runs,loo_range,full_sample_touch_pct,full_sample_n,verdict
SPY,0.3-0.5%,50000,15.519776974279885,10.949868073878628,17.359413202933986,2.032465093729088,8,6.409545129055358,15.553121577217963,913,moderate
SPY,0.3-0.5%,100000,17.982769787495013,13.226452905811623,20.260223048327138,2.21533204569687,8,7.033770142515515,18.016528925619834,605,moderate
SPY,0.3-0.5%,250000,18.69677477898427,14.975845410628018,21.363636363636363,1.8976504218136618,8,6.387790953008345,18.725099601593627,251,moderate
SPY,0.3-0.5%,500000,19.94971958722285,16.666666666666664,22.535211267605636,2.114660536843317,8,5.8685446009389715,20.0,80,moderate
SPY,0.3-0.5%,1000000,24.038461538461537,23.076923076923077,25.0,1.0533126105868575,6,1.9230769230769234,23.076923076923077,13,robust
SPY,0.5-1%,1000,0.9469512161479627,0.45774647887323944,1.0921501706484642,0.21342574821120827,8,0.6344036917752247,0.9498367468091422,3369,robust
SPY,0.5-1%,5000,1.1406434036372475,0.4431314623338257,1.3145539906103285,0.2879971432050828,8,0.8714225282765028,1.146131805157593,2443,robust
SPY,0.5-1%,25000,1.4118318776572436,0.6302521008403361,1.6666666666666667,0.33960664514377903,8,1.0364145658263306,1.41718334809566,1129,robust
SPY,0.5-1%,50000,2.320579734809079,0.9861932938856016,2.7559055118110236,0.5860781559086781,8,1.7697122179254219,2.329450915141431,601,robust
SPY,0.5-1%,100000,3.062166826613579,1.834862385321101,3.755868544600939,0.7610790010909622,8,1.921006159279838,3.076923076923077,260,robust
SPY,0.5-1%,250000,1.6965610477907636,0.0,2.083333333333333,0.6999730345705367,8,2.083333333333333,1.694915254237288,59,robust
SPY,1-1.5%,1000,0.0,0.0,0.0,0.0,8,0.0,0.0,1623,robust
SPY,1-1.5%,5000,0.0,0.0,0.0,0.0,8,0.0,0.0,807,robust
SPY,1-1.5%,25000,0.0,0.0,0.0,0.0,8,0.0,0.0,184,robust
SPY,1-1.5%,50000,0.0,0.0,0.0,0.0,8,0.0,0.0,53,robust
SPY,1-1.5%,100000,0.0,0.0,0.0,0.0,8,0.0,0.0,14,robust
SPY,1.5-2%,1000,0.0,0.0,0.0,0.0,8,0.0,0.0,711,robust
SPY,1.5-2%,5000,0.0,0.0,0.0,0.0,8,0.0,0.0,255,robust
SPY,1.5-2%,25000,0.0,0.0,0.0,0.0,8,0.0,0.0,30,robust
SPY,2-3%,1000,0.0,0.0,0.0,0.0,8,0.0,0.0,452,robust
SPY,2-3%,5000,0.0,0.0,0.0,0.0,8,0.0,0.0,81,robust
SPY,3%+,1000,0.0,0.0,0.0,0.0,8,0.0,0.0,227,robust
