date,timestamp,ticker,price,gamma_oi,gamma_vol,gamma_dir,charm_oi,charm_vol,charm_dir,vanna_oi,vanna_vol,vanna_dir
2026-04-13T05:00:00.000Z,2026-04-13T16:50:00.000Z,SPX,6845.00,38605242844.8700,300563456489.2000,52544649021.8800,-18205533152263.4400,-45120799536521.6000,2127041754028.3500,1227288265.7165,659324626.0207,7835574.8667
2026-04-13T05:00:00.000Z,2026-04-13T16:55:00.000Z,SPX,6845.00,32471097117.6500,318321949073.8900,54657387828.7100,-18794488602624.8000,-50902966438752.2000,1802050517736.9300,1047581311.8264,756070853.3118,11493440.2409
2026-04-13T05:00:00.000Z,2026-04-13T17:00:00.000Z,SPX,6845.00,45176639873.2300,342036811540.0500,61557786350.2200,-19611960547605.0700,-52885082628391.3000,1655859387494.2600,716547847.7602,755098047.9817,9028370.7597
2026-04-13T05:00:00.000Z,2026-04-13T17:05:00.000Z,SPX,6845.00,70131124929.3000,351937868636.8400,65167008734.2800,-20276604455261.2700,-55223581796537.9000,1490006632157.4000,433353402.9333,760313550.7743,1432523.0054
2026-04-13T05:00:00.000Z,2026-04-13T17:10:00.000Z,SPX,6845.00,55116031232.6800,358750584354.1200,67525485504.6900,-20516532505433.0400,-57970402296052.9000,1419708217190.8100,685141703.6108,796838948.9291,22724967.3613
2026-04-13T05:00:00.000Z,2026-04-13T17:15:00.000Z,SPX,6845.00,50706884705.2200,371981406774.5100,69569454430.0200,-21081819805307.9700,-60753491326161.2000,1291165529502.1500,790871046.1190,819542153.8581,27188689.4382
2026-04-13T05:00:00.000Z,2026-04-13T17:20:00.000Z,SPX,6845.00,55321021489.7800,383948458351.2700,72320782523.8600,-21538946511493.1700,-61924899198804.6000,1957715727081.7700,759579124.7258,781351983.4598,20136701.7547
2026-04-13T05:00:00.000Z,2026-04-13T17:25:00.000Z,SPX,6845.00,49056693278.6500,385819239774.0700,72791010746.3200,-21913536384253.6100,-66940134449698.9000,1295968794161.8100,843540385.7943,859700866.6748,38505086.6321
2026-04-13T05:00:00.000Z,2026-04-13T17:30:00.000Z,SPX,6850.00,29794734966.9800,408656367594.8400,77566489131.5400,-21689280078915.9500,-65494024977905.2000,2732345959437.6700,1060549421.0875,759428641.7546,20106523.8161
2026-04-13T05:00:00.000Z,2026-04-13T17:35:00.000Z,SPX,6845.00,51727595590.5200,401955603155.1900,77938799763.0100,-22706211554703.2100,-73630577866027.5000,1571368479539.9400,585628146.9236,877079298.6623,30598991.9006
2026-04-13T05:00:00.000Z,2026-04-13T17:40:00.000Z,SPX,6845.00,35035392665.6200,404661082572.2700,77533808017.7300,-23134869531600.5200,-76699257852073.5000,1796215210169.6100,1283112946.4822,913472257.3851,30157480.3757
2026-04-13T05:00:00.000Z,2026-04-13T17:45:00.000Z,SPX,6845.00,46317868000.9300,397416071647.0700,77398072180.1400,-24285685446343.5200,-80954721382970.3000,1795337555744.0700,671955416.6151,888538074.0644,36119205.8309
2026-04-13T05:00:00.000Z,2026-04-13T17:50:00.000Z,SPX,6845.00,46250474361.7100,406713011522.4500,78572261721.8100,-24879879235665.1900,-90592603059836.1000,134858598589.9700,676787296.7972,1016368459.9807,56187003.6386
2026-04-13T05:00:00.000Z,2026-04-13T17:55:00.000Z,SPX,6845.00,39276271564.8400,431867343146.2900,82493264632.9600,-25769592662344.5400,-91002946682159.9000,1875694889144.3900,1184829746.3101,965394627.8074,43277872.5780
2026-04-13T05:00:00.000Z,2026-04-13T18:00:00.000Z,SPX,6845.00,38508595487.4200,467108333118.0400,88891181330.7400,-26421822890075.2300,-96823309567306.0000,1935691976515.1700,1289046165.2028,1000109961.3490,46211259.8008
2026-04-13T05:00:00.000Z,2026-04-13T18:05:00.000Z,SPX,6845.00,43442768247.3200,481901898722.7500,90895492814.4500,-27104200752822.8500,-104059288418323.5000,2033915938680.9600,751181291.7440,995609947.7280,47255221.9530
2026-04-13T05:00:00.000Z,2026-04-13T18:10:00.000Z,SPX,6850.00,54630204927.0600,502935545371.1500,95689135797.3000,-27583621403696.5800,-100445989843834.4000,4179581364588.9700,600938534.6780,855935720.7289,19824341.3347
