bucket_min,symbol,option_type,aggression_regime,distance_bucket,premium_bucket,n,touch_pct,median_minutes_to_touch,median_mfe_bps,median_mae_bps,median_end_ret_bps
5,QQQ,put,sell_dom,0.5-1%,$1-5k,242,2.066115702479339,9.0,8.81695556640625,21.374629974365234,-13.884757041931152
5,QQQ,put,sell_dom,0.5-1%,$100-500k,87,5.747126436781609,65.0,16.79259490966797,34.134761810302734,-20.202293395996094
5,QQQ,put,sell_dom,0.5-1%,$25-100k,194,0.5154639175257731,30.0,13.647006511688232,26.458029747009277,-14.794900894165039
5,QQQ,put,sell_dom,0.5-1%,$5-25k,288,2.083333333333333,29.0,15.48461627960205,20.594165802001953,-12.565401077270508
5,QQQ,put,sell_dom,1-1.5%,$1-5k,300,0.0,,14.267180442810059,24.04914379119873,-13.187202453613281
5,QQQ,put,sell_dom,1-1.5%,$25-100k,45,0.0,,12.26372241973877,51.548397064208984,-39.70358657836914
5,QQQ,put,sell_dom,1-1.5%,$5-25k,198,0.0,,14.346169471740723,24.816980361938477,-13.330601692199707
5,QQQ,put,sell_dom,1.5-2%,$1-5k,208,0.0,,14.21701431274414,25.133636474609375,-15.727450370788574
5,QQQ,put,sell_dom,1.5-2%,$25-100k,11,0.0,,8.613883018493652,53.810638427734375,-39.88063430786133
5,QQQ,put,sell_dom,1.5-2%,$5-25k,91,0.0,,10.641484260559082,30.431198120117188,-18.930450439453125
5,QQQ,put,sell_dom,2-3%,$1-5k,147,0.0,,12.26372241973877,43.41791534423828,-25.97934341430664
5,QQQ,put,sell_dom,2-3%,$5-25k,19,0.0,,9.741083145141602,67.54107666015625,-61.4218635559082
5,QQQ,put,sell_dom,3%+,$1-5k,64,0.0,,13.513845443725586,33.90792655944824,-14.525209426879883
5,SPXW,call,buy_dom,0.3-0.5%,$1-5k,34,2.941176470588235,6.0,6.09549617767334,1.5979737043380737,4.012021780014038
5,SPXW,call,buy_dom,0.3-0.5%,$100-500k,17,0.0,,12.397557258605957,18.20451545715332,2.114774465560913
5,SPXW,call,buy_dom,0.3-0.5%,$5-25k,12,0.0,,17.881237030029297,3.5512022972106934,15.049942016601562
5,SPXW,call,buy_dom,0.5-1%,$1-5k,115,0.0,,11.841181755065918,7.47953462600708,7.490270614624023
5,SPXW,call,buy_dom,0.5-1%,$100-500k,21,0.0,,27.174116134643555,9.876140594482422,14.913487434387207
5,SPXW,call,buy_dom,0.5-1%,$25-100k,21,0.0,,24.629776000976562,9.448113441467285,5.033805847167969
5,SPXW,call,buy_dom,0.5-1%,$5-25k,56,0.0,,13.292986869812012,13.408118724822998,5.477890253067017
5,SPXW,call,buy_dom,1-1.5%,$1-5k,147,0.0,,15.511667251586914,15.69459056854248,5.274501800537109
5,SPXW,call,buy_dom,1-1.5%,$5-25k,46,0.0,,19.691993713378906,11.331258773803711,11.305963516235352
5,SPXW,call,buy_dom,1.5-2%,$1-5k,131,0.0,,21.04621124267578,11.414610862731934,9.269478797912598
5,SPXW,call,buy_dom,1.5-2%,$5-25k,20,0.0,,35.686031341552734,8.18921184539795,29.322285652160645
5,SPXW,call,buy_dom,2-3%,$1-5k,177,0.0,,22.60222053527832,12.329009056091309,11.463963508605957
5,SPXW,call,buy_dom,2-3%,$5-25k,13,0.0,,22.06307601928711,15.466850280761719,13.255072593688965
5,SPXW,call,buy_dom,3%+,$1-5k,37,0.0,,22.238670349121094,15.08403205871582,14.22419548034668
5,SPXW,call,mixed,0.3-0.5%,$1-5k,22,9.090909090909092,65.5,15.250375747680664,4.152572274208069,12.924058437347412
5,SPXW,call,mixed,0.3-0.5%,$100-500k,164,17.073170731707318,62.0,17.114069938659668,12.469504356384277,6.403426170349121
5,SPXW,call,mixed,0.3-0.5%,$25-100k,89,15.730337078651685,93.0,15.201318740844727,9.565750122070312,6.208173751831055
5,SPXW,call,mixed,0.3-0.5%,$5-25k,68,2.941176470588235,76.5,11.64388656616211,7.441936016082764,6.360458850860596
